127.0.0.1 - - [26/Jun/2021:11:06:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:06:24 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 2601
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:06:24 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 200 200834
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:06:24 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 200 9792
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:11:00 +0900] "GET /AngelPlayer/src/header.jsp HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:11:00 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:11:06 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 2670
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:11:08 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:11:08 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:11:53 +0900] "GET /AngelPlayer/src/header.jsp HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:11:53 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:11:56 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 2670
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:11:57 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:11:57 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:12:57 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 2696
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:12:58 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:12:59 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:13:21 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:13:23 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:13:23 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:13:34 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:13:35 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:13:35 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:16:00 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:16:01 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:16:01 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:16:01 +0900] "GET /AngelPlayer/img/setting.svg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:16:19 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:16:20 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:16:21 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:16:21 +0900] "GET /AngelPlayer/img/setting.svg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:16:43 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:16:45 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:16:45 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:16:45 +0900] "GET /AngelPlayer/img/setting.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:16:54 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:16:55 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:16:55 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:16:55 +0900] "GET /AngelPlayer/img/setting.png HTTP/1.1" 200 174630
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:23:48 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:23:50 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:11:23:50 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
