127.0.0.1 - - [01/Jul/2021:13:39:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Jul/2021:13:39:04 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 6640
0:0:0:0:0:0:0:1 - - [01/Jul/2021:13:39:04 +0900] "GET /AngelPlayer/src/initial.css HTTP/1.1" 200 3218
0:0:0:0:0:0:0:1 - - [01/Jul/2021:13:39:04 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 200 200834
0:0:0:0:0:0:0:1 - - [01/Jul/2021:13:39:04 +0900] "GET /AngelPlayer/img/ai.jpg HTTP/1.1" 200 1428878
0:0:0:0:0:0:0:1 - - [01/Jul/2021:13:39:04 +0900] "GET /AngelPlayer/img/web.png HTTP/1.1" 200 169539
0:0:0:0:0:0:0:1 - - [01/Jul/2021:13:39:04 +0900] "GET /AngelPlayer/img/shin01.png HTTP/1.1" 200 3271979
0:0:0:0:0:0:0:1 - - [01/Jul/2021:13:39:04 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 200 9948
0:0:0:0:0:0:0:1 - - [01/Jul/2021:13:39:04 +0900] "GET /AngelPlayer/src/main.css HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [01/Jul/2021:13:39:06 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 8496498
0:0:0:0:0:0:0:1 - - [01/Jul/2021:13:39:06 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [01/Jul/2021:13:39:06 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 25970
0:0:0:0:0:0:0:1 - - [01/Jul/2021:13:39:06 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [01/Jul/2021:13:39:06 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 8496498
0:0:0:0:0:0:0:1 - - [01/Jul/2021:13:44:24 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 6640
0:0:0:0:0:0:0:1 - - [01/Jul/2021:13:44:24 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:13:44:24 +0900] "GET /AngelPlayer/src/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:13:44:24 +0900] "GET /AngelPlayer/src/initial.css HTTP/1.1" 200 3218
0:0:0:0:0:0:0:1 - - [01/Jul/2021:13:44:24 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:13:44:24 +0900] "GET /AngelPlayer/img/shin01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:13:44:24 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:36:13 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 7558
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:36:14 +0900] "GET /AngelPlayer/src/initial.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:36:14 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:36:14 +0900] "GET /AngelPlayer/src/main.css HTTP/1.1" 200 1445
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:36:14 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:36:14 +0900] "GET /AngelPlayer/img/shin01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:36:14 +0900] "GET /AngelPlayer/src/img/hobby_01.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:36:14 +0900] "GET /AngelPlayer/src/img/hobby_03.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:36:14 +0900] "GET /AngelPlayer/src/img/hobby_02.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:36:14 +0900] "GET /AngelPlayer/img/web.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:36:14 +0900] "GET /AngelPlayer/img/ai.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:36:14 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:36:38 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 7558
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:36:39 +0900] "GET /AngelPlayer/src/initial.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:36:39 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:36:39 +0900] "GET /AngelPlayer/src/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:36:39 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:36:39 +0900] "GET /AngelPlayer/img/shin01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:36:39 +0900] "GET /AngelPlayer/src/img/hobby_01.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:36:39 +0900] "GET /AngelPlayer/src/img/hobby_02.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:36:39 +0900] "GET /AngelPlayer/src/img/hobby_03.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:36:39 +0900] "GET /AngelPlayer/img/web.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:36:39 +0900] "GET /AngelPlayer/img/ai.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:36:39 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:04 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 7501
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:05 +0900] "GET /AngelPlayer/src/initial.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:05 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:05 +0900] "GET /AngelPlayer/src/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:05 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:05 +0900] "GET /AngelPlayer/img/shin01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:05 +0900] "GET /AngelPlayer/img/hobby_01.jpg HTTP/1.1" 200 365755
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:05 +0900] "GET /AngelPlayer/img/hobby_02.jpg HTTP/1.1" 200 331882
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:05 +0900] "GET /AngelPlayer/img/web.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:05 +0900] "GET /AngelPlayer/img/hobby_03.jpg HTTP/1.1" 200 537977
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:05 +0900] "GET /AngelPlayer/img/ai.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:05 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:15 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 7501
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:15 +0900] "GET /AngelPlayer/src/initial.css HTTP/1.1" 200 3218
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:15 +0900] "GET /AngelPlayer/src/main.css HTTP/1.1" 200 1445
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:15 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 200 9948
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:15 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 200 200834
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:15 +0900] "GET /AngelPlayer/img/shin01.png HTTP/1.1" 200 3271979
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:15 +0900] "GET /AngelPlayer/img/hobby_01.jpg HTTP/1.1" 200 365755
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:15 +0900] "GET /AngelPlayer/img/hobby_02.jpg HTTP/1.1" 200 331882
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:15 +0900] "GET /AngelPlayer/img/hobby_03.jpg HTTP/1.1" 200 537977
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:15 +0900] "GET /AngelPlayer/img/web.png HTTP/1.1" 200 169539
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:15 +0900] "GET /AngelPlayer/img/ai.jpg HTTP/1.1" 200 1428878
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:16 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:16 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 2097152
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:37:16 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 4194304
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:38:32 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 7500
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:38:32 +0900] "GET /AngelPlayer/src/main.css HTTP/1.1" 304 -
