127.0.0.1 - - [25/Mar/2022:21:16:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Mar/2022:21:16:59 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 7700
0:0:0:0:0:0:0:1 - - [25/Mar/2022:21:16:59 +0900] "GET /AngelPlayer/img/hobby_02.jpg HTTP/1.1" 200 331882
0:0:0:0:0:0:0:1 - - [25/Mar/2022:21:16:59 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 200 200834
0:0:0:0:0:0:0:1 - - [25/Mar/2022:21:16:59 +0900] "GET /AngelPlayer/src/initial.css HTTP/1.1" 200 3267
0:0:0:0:0:0:0:1 - - [25/Mar/2022:21:16:59 +0900] "GET /AngelPlayer/src/main.css HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [25/Mar/2022:21:16:59 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 200 9635
0:0:0:0:0:0:0:1 - - [25/Mar/2022:21:16:59 +0900] "GET /AngelPlayer/img/hobby_03.jpg HTTP/1.1" 200 537977
0:0:0:0:0:0:0:1 - - [25/Mar/2022:21:16:59 +0900] "GET /AngelPlayer/img/web.png HTTP/1.1" 200 169539
0:0:0:0:0:0:0:1 - - [25/Mar/2022:21:16:59 +0900] "GET /AngelPlayer/img/shin01.png HTTP/1.1" 200 3271979
0:0:0:0:0:0:0:1 - - [25/Mar/2022:21:16:59 +0900] "GET /AngelPlayer/img/ai.jpg HTTP/1.1" 200 1428878
0:0:0:0:0:0:0:1 - - [25/Mar/2022:21:16:59 +0900] "GET /AngelPlayer/img/hobby_01.jpg HTTP/1.1" 200 365755
0:0:0:0:0:0:0:1 - - [25/Mar/2022:21:17:01 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 8496498
0:0:0:0:0:0:0:1 - - [25/Mar/2022:21:17:01 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [25/Mar/2022:21:17:01 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 25970
0:0:0:0:0:0:0:1 - - [25/Mar/2022:21:17:01 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [25/Mar/2022:21:17:01 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 8496498
