127.0.0.1 - - [29/Jun/2021:18:39:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:19 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 6836
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:19 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 200 200834
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:19 +0900] "GET /AngelPlayer/img/setting.png HTTP/1.1" 200 11855
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:19 +0900] "GET /AngelPlayer/img/shin01.png HTTP/1.1" 200 3271979
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:19 +0900] "GET /AngelPlayer/src/initial.css HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:19 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 200 9948
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:19 +0900] "GET /AngelPlayer/img/ai.jpg HTTP/1.1" 200 1428878
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:19 +0900] "GET /AngelPlayer/img/web.png HTTP/1.1" 200 169539
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:19 +0900] "GET /AngelPlayer/src/main.css HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:21 +0900] "GET /AngelPlayer/img/gundam.png HTTP/1.1" 200 2981246
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:21 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 8496498
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:22 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:22 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 25970
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:22 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:22 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 8496498
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:38 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 6836
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:38 +0900] "GET /AngelPlayer/src/main.css HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:38 +0900] "GET /AngelPlayer/src/initial.css HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:38 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 200 200834
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:38 +0900] "GET /AngelPlayer/img/setting.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:38 +0900] "GET /AngelPlayer/img/shin01.png HTTP/1.1" 200 3271979
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:38 +0900] "GET /AngelPlayer/img/web.png HTTP/1.1" 200 169539
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:38 +0900] "GET /AngelPlayer/img/ai.jpg HTTP/1.1" 200 1428878
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:40 +0900] "GET /AngelPlayer/img/gundam.png HTTP/1.1" 200 2981246
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:40 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:40 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 2097152
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:39:40 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 4194304
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:40:37 +0900] "GET /AngelPlayer/src/introduce.jsp HTTP/1.1" 200 10553
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:40:37 +0900] "GET /AngelPlayer/src/introduce.css HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:40:37 +0900] "GET /AngelPlayer/img/about_shin.png HTTP/1.1" 200 1155159
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:42:20 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 6836
0:0:0:0:0:0:0:1 - - [29/Jun/2021:18:55:45 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 6836
0:0:0:0:0:0:0:1 - - [29/Jun/2021:19:09:19 +0900] "GET /AngelPlayer/src/introduce.jsp HTTP/1.1" 200 10553
0:0:0:0:0:0:0:1 - - [29/Jun/2021:19:25:38 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 6813
0:0:0:0:0:0:0:1 - - [29/Jun/2021:19:25:39 +0900] "GET /AngelPlayer/src/initial.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2021:19:25:39 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2021:19:25:39 +0900] "GET /AngelPlayer/src/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2021:19:25:39 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2021:19:25:39 +0900] "GET /AngelPlayer/img/setting.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2021:19:25:39 +0900] "GET /AngelPlayer/img/web.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2021:19:25:39 +0900] "GET /AngelPlayer/img/ai.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2021:19:25:39 +0900] "GET /AngelPlayer/img/shin01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2021:19:25:39 +0900] "GET /AngelPlayer/img/gundam.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2021:19:25:39 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2021:19:26:54 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 6802
0:0:0:0:0:0:0:1 - - [29/Jun/2021:19:26:55 +0900] "GET /AngelPlayer/src/initial.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2021:19:26:55 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2021:19:26:55 +0900] "GET /AngelPlayer/src/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2021:19:26:55 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2021:19:26:55 +0900] "GET /AngelPlayer/img/setting.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2021:19:26:55 +0900] "GET /AngelPlayer/img/shin01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2021:19:26:55 +0900] "GET /AngelPlayer/img/web.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2021:19:26:55 +0900] "GET /AngelPlayer/img/ai.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2021:19:26:55 +0900] "GET /AngelPlayer/img/gundam.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2021:19:26:55 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2021:20:02:41 +0900] "GET /AngelPlayer/img/shin01.png HTTP/1.1" 200 3271979
0:0:0:0:0:0:0:1 - - [29/Jun/2021:20:03:22 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 6802
0:0:0:0:0:0:0:1 - - [29/Jun/2021:20:03:22 +0900] "GET /AngelPlayer/img/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [29/Jun/2021:20:03:27 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 200 9965
