127.0.0.1 - - [07/Jul/2021:10:18:52 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:18:53 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 7700
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:18:53 +0900] "GET /AngelPlayer/src/initial.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:18:53 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:18:53 +0900] "GET /AngelPlayer/src/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:18:53 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:18:53 +0900] "GET /AngelPlayer/img/shin01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:18:53 +0900] "GET /AngelPlayer/img/hobby_03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:18:53 +0900] "GET /AngelPlayer/img/hobby_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:18:53 +0900] "GET /AngelPlayer/img/hobby_02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:18:53 +0900] "GET /AngelPlayer/img/web.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:18:53 +0900] "GET /AngelPlayer/img/ai.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:18:53 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 8496498
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:18:53 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:18:53 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 25970
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:18:54 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:18:54 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 8496498
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:20:26 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 7700
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:20:26 +0900] "GET /AngelPlayer/src/initial.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:20:26 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:20:26 +0900] "GET /AngelPlayer/src/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:20:26 +0900] "GET /AngelPlayer/img/shin01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:20:26 +0900] "GET /AngelPlayer/img/hobby_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:20:26 +0900] "GET /AngelPlayer/img/hobby_02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:20:26 +0900] "GET /AngelPlayer/img/hobby_03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:20:26 +0900] "GET /AngelPlayer/img/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:25:53 +0900] "GET /AngelPlayer/src/introduce.jsp HTTP/1.1" 200 10395
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:25:53 +0900] "GET /AngelPlayer/src/introduce.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:25:53 +0900] "GET /AngelPlayer/img/about_shin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:40:47 +0900] "GET /AngelPlayer/src/admin.jsp HTTP/1.1" 200 3716
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:40:47 +0900] "GET /AngelPlayer/src/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:40:47 +0900] "GET /AngelPlayer/src/addProject.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:40:47 +0900] "GET /AngelPlayer/img/admin.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:40:48 +0900] "GET /AngelPlayer/src/login.jsp HTTP/1.1" 200 3867
0:0:0:0:0:0:0:1 - - [07/Jul/2021:10:40:48 +0900] "GET /AngelPlayer/img/add_project.jpg HTTP/1.1" 304 -
